tweet_id,cleaned_text,location
ID_1021799419681878016,1please DONATE support suffer unprecedented catastrophe 1municipality RafinaPikermiou create Bank Account 1IBAN GR20 0172 1860 0051 8609 2291 418   PrayforGreece PrayForAthens  ,
ID_1022166211927449600,hour queue hospital donate blood fire victim syrian palestinian refugee municipality inundate assistance citizen egyptian fisherman save people sea alongside coast guard fireman save people animal athensfire,
ID_1023098760572923904,twin girl missing find dead grandparent late Friday 4 body find huddle 2 Twins Athens AthensFires,
ID_1030396033740636160,pregnant lady water bag leaking airlift evacuate Sanjivani Doctor lower assess lady Operation successful OpMadad KeralaFloodRelief KeralaFloods2018,
ID_1030412580182020096,road clear Keralas Kumily traffic movement affect landslide cause heavy rainfall keralaflood,
ID_1030750137608482816,distance DAARU changu   mangus month   donate money Keralite big help flood effect KeralaBB DryKejriwalforKerala,
ID_1030793956831911936,indian Govt Indian Forces 2 lakh people safe place deploy food water     additionally give 950cr farStop spew venom moron Pidis libtard ModiFor2019 indiaOnRightTrack KeralaFloodRelief,
ID_1030847037741453312,guy donate F fellow countryman KeralaKarnataka need food sanitary provision ride little bit help not pay attention trolling commielibtards2 surround deluge,
ID_1031380345793466368,KeralaFloods2018 OPRAHAT   Rescue team day night operation rescue 50 people include woman   child flood house Thiruvella area   shift safely near Relief camp    ,
ID_1031445863116111872,save mi state Andrapradesh East godavari jalla   people food water not shelter plz help,
ID_1031476760037081088,KeralaSOS Urgent Requirement need volunteer Aluva   Mobin Sageer 9995188063 Keralafloods KeralaFloodRelief KeralaFloodRescue Cc        ,
ID_1031578576162709504,meet Swaha VS 11 th grade humanity student Shenoy Memorial Higher Secondary School contribute acre land amount 50l   disaster relief fund hero need warrior humanity keralaflood,
ID_1031734975350091776,3000 fisherman give livelihood close week engage big rescue relief operation Keralas history KeralaFloodRelief KeralaFloodRescue,
ID_1031814520849752064,JK Bank staff step help KeralaFlood victim donate Rs11 Cr Chairman   ceo Parvez Ahmed contribute 2 month salary staffer decide donate day salary time severe crisis good gesture,
ID_1032618019908771840,extent damage look atbuilde bridge cost croreshundre bridge town roadshouse livelihood compensationthe cost incalculable inset Cheruthoni town KeralaFloodRelief RebuildKerala,
ID_1033190983544975360,RT   Commies wait UAE aid announcement keralafloodrelief,
ID_1034011402422439936,satellite image flood alter Keralas landscape keralaflood,
ID_1035170415721603072,great effort   student NMIMS College KeralaFloodRelief collection drive collaboration ngo,
ID_1037322050698915840,400 tonnes relief material KERALA    KhalsaAid   KeralaFloodRelief,
ID_1039406925295874048,hi people Category 5 hurricane Florence head way m struggle little will not pay Friday commission tweet info use little help hurricane prep   d appreciate help you offer,
ID_1039425818475331584,     m focus landfall 1st doubt ll tv station inland NC VA   state ll significant coverage HurricaneFlorence make landfall s go stop inland dump ton rain   cause major flooding ncwx vawx,
ID_1039441821171101696,RT   list available shelter Lowcountry Hurricane Florence   scnew chsnew,
ID_1039450679729905664,late track Florence suggest coastal area wind rain daytime Thursday landfall Thursday night heavy rain cause additional flooding inland different impact watch FYI   peak atlantic hurricane season yesterday,
ID_1039485785278439424,bull eye Outer Banks evacuation begin Hurricane Florence churn NC,
ID_1039487196347150336,Sheriff Jenkins host storm preparedness meeting Rapidan Fire Dept September 11 2018 700pm resident Rapidan Village surround community likely affect potential flooding result Hurricane Florence,
ID_1039492376669114368,share Charlotte Humane Society need foster family help pet Hurricane Florence,
ID_1039506672652189696,thank local hero way assist HurricaneFlorence update petfriendly shelter path Florence follow thread,
ID_1039506952659730432,horse people hook resource evacuation house MD need help reach dm open equestrian HurricaneFlorence stuck,
ID_1039532417512603648,Hurricane Florence hit scramble electricity app help information need stay safe stay touch friend family,
ID_1039540088428847104,florence produce lifethreatene storm surge flash flooding river flooding hurricaneforce wind inland Finish prepare soon possible expect powercellwatersewer outage block road day week,
ID_1039545608284057600,weatherrelated death 2017 flash flood tropical storm heat   Hurricane Florence target Experts Urge Safety    MedNews   hurricaneflorence staysafecarolina,
ID_1039546587524091904,RT   Governor McMaster base current forecast track Hurricane Florence lift evacuation order Jaspe,
ID_1039575469505605632,Charlotte Motor Speedway welcome evacuee Hurricane Florence,
ID_1039584053903732736,ODUFlorence stay safe stay update Hurricane Florence unpredictable exceedingly dangerous expect cause massive damage East coast,
ID_1039888525594972160,Congaree National Park close 200 pm afternoon advance Hurricane Florence entire park include hiking trail canoe trail facility campground close notice potable water available time,
ID_1039900699935604736,PSA    open campground HurricaneFlorence evacuee StayAlert Florence,
ID_1039909423295156224,crucial Outer Banks highway NC 12 intact despite overwash resident visitor head firstever statewide evacuation barrier island HurricaneFlorence obx,
ID_1039919694550106112,update   campground VA   NC mandatory evacuation order notice affected camper eligible refund Backcountry camping area include hurricaneflorence,
ID_1039920217030369280,DHEC receive photo elderly couple evacuate EMS crew SC coastal nursing home grateful incredible crew assist safe medical evacuation HurricaneFlorence,
ID_1039921668246974464,HurricaneFlorence plan quick safe evacuation Florence,
ID_1040195299438936064,get water need collect water affect Hurricane Florence today live Pilot 8541 Middlebrook Pike 111 help,
ID_1040327443536662528,emergency shelter Lenoir County plenty room   ,
ID_1040547716370231296,RT   Charlestons barrier island resident meh Hurricane Florence evacuation,
ID_1040555080221638656,150 people wait rescue New Bern NC flood water cover city   HurricaneFlorence,
ID_1040613767040647168,940 EDT 2 S Wrightsboro New Hanover Co NC MEDIA report HURRICANE SCOTCHMAN GAS STATION 23rd ST   GAS pump station KNOCKED AWNING damage,
ID_1040659840027308032,think gas leak bad HurricaneFlorence joke coastal flooding NC,
ID_1041217692949204992,RT   Michael Jordan Charlotte Hornets NBA team help victim Hurricane Florence,
ID_1041220553535840256,wpNBA Michael Jordan Charlotte Hornets NBA join begin Hurricane Florence Relief Recovery Efforts,
ID_1041232582762004480,think moment average walk speed 31 mph Florence move approximately 2 mph result slow movement Florence produce heavy rain flash flood turn not drown TADD,
ID_1041267836293771264,florence death toll rise 11 storm shift inland bring epic rainfall record flood,
ID_1041276998629445632,Airbnb activate free housing program Hurricane Florence evacuee relief worker,
ID_1041402049429204992,117 PM EDT 5 SE Maxton Robeson Co NC DEPT HIGHWAYS report flash FLOOD J R ROAD ELROD ROAD NEAR MAXTON robeson county closed flooding,
ID_1041490705116549120,repost    folk ask help action seek relief supply organize repair crew support community Eastern NC posthurricane,
ID_1041577775067348992,RT    help NC Florence,
ID_1041582624823799808,see devastation Florence cause East coast OTH sisterhood come deep love help town call home place hold memory forever help effort,
ID_1041612348337868800,join lady OTH support help people live NC affect hurricane Florence CapeFearlessChallenge,
ID_1041625559388901376,easy   quick way help HurricaneFlorence victim 10 donation   text REDCROSS 90999 text fee apply GainesvilleOcalaHeartofFLA,
ID_1041627813202354176,RT OCFAPIO Task Force 5 continue work hard Duplin County perform numerous evacuation rescue team run boat wooded area river rescue resident sweep away HurricaneFlorence ocfire,
ID_1041627888875909120,nice graphic link florencesc   vocabulary reminder good NC VA folk deal flooding,
ID_1041635990748753920,Hurricane Florence bring lot damage New Bern community work restore beautiful town carolinastrong greaterdowntownnewbern,
ID_1041794673180860416,important notice think fly drone hurricane effect region dronesforgood Hurricane Florence FAA restrict drone Florence recovery effort continue,
ID_1042011800492040192,  continue recover HurricaneFlorence weekend game   postpone join donate Charlestonarea relief go     lynnkicksice,
ID_1042024580003651584,look damage Florence Wilmington,
ID_1042025900345315328,100 dead miss TyphoonMangkhut 30 dead HurricaneFlorence 100 dead nigerian flood 10 state sheer power water power humanity RedCross RedCrescent volunteer emergency longterm support,
ID_1042026219498340352,  road closures   list road closure   91818 730am discourage nonessential travel road condition constantly change need road clear emergency personnel utility worker ReadyNC Florence,
ID_1042046799572332544,help need volunteer donate florence,
ID_1042056866283618304,  collect donation Hurricane Florence victim like donate   drop relief supply outside lot 12a south TDECU stadium HurricaneFlorence relief,
ID_1042058989045993472,Friend need friend help friend Cyndi Papia New Bern NC roof head lose Hurricane Florence help,
ID_1042059871087194112,serve SC Hurricane Florence active duty National Guard future Governor   work road get know people state help,
ID_1042062203984273408,hi m go charity event weekend benefit affect NC hurricane Florence unable donate want help link list stream Thursday night 7 pm EST,
ID_1061321072627245056,Baby2Baby work highneed item child affect ongoing Camp Fire Hill Fire   Woolsey Fire help diaper wipe   essential hand family lose purchase registry,
ID_1061321216609447936,RT   need help transport animal camp fire area PARADISE PEOPLE help http,
ID_1063173292851372032,Christina Hixson home circle tent pitch outside Chicos WalMart 26yearold son exhusband settle Camp Fire reduce house nearby Paradise live ashe paradisetentcity,
ID_1064232356897280000,   victim nonagressor moralize death victim terrorism 911californiasandy hook people exist wrong believe way kill,
ID_1064370128635056128,551118 Lost Coast Hay team w Birch Valley Ranch Equestrian School   donation hay need horse livestock impact CampFirePets Birch Valley Ranch FB 7    campfirejameswood disasterassistteam,
ID_1064491487902224384,CampFire 71dead1600 miss hundred live tent parking lot Walmart Walmart demand leave open door help people HolidaySpirit let BoycottWalmart   RETWEET,
ID_1065269685229363200,Camp Fire burn Bay Area resident give Thanksgiving plan help,
ID_1065367232795066368,d like assist victim stillraging Camp Fire colleague   operate Camp Fire Evacuation Relief Fund support immediate need long term recovery,
ID_1066046565293285376,move story   bring Paradise Chico buttecounty remember s org ready donation fire refugee need help,
ID_1066854298418651136,Homelessness go thousand Californians displace wildfire dem want people rush country take care actual citizen,
ID_1106813189499600896,CycloneIdai hit part ZimbabweChimanimani particular 100 people feard dead ward 15 flash flood   mudslide result mo 30 house wash away rescue underway assistance foodtentsblanket appreciate prayformozambique,
ID_1107194651411398656,19 2christina Pr Sch near Steinstroom sec sch Jopa copper road district command rescue   serve Risitu valley furth vehicle access Jopa Risitu valley destroy bridgesCycloneIdai,
ID_1107950818177806336,moral gestapos awake comment Vimbai Zimutos image tell people donate CycloneIdai quiet pic social medium hee chii chii hee Yohweee varipabasa shuwa,
ID_1108139346262151168,brilliant team action today offload vital supply ukaid work partnership INGC   ,
ID_1108827854006030336,WFP rush food   assistance large number people affect cycloneIdai WFPs Gerald Bourke explain challenge  ,
ID_1109088313435148288,donor assistance welcome main source funding critical institution cpu country outsource existence CycloneIdai,
ID_1109192273215008768,3monews   CycloneIdai damage fuel pipeline zimbabwes energy minister say   3mob,
ID_1110191088973869056,    report rain cause severe flooding 14 Nsanjes 28 district Malawians Info instead debate fellow citizen suffer thank,
ID_1110237231502057472,EU provide helicopter CycloneIdai relief effort   today start week operation auspex World Food Programme relief good injure survivor,
ID_1110687429839732736,Valley road cut home building underwater field flood People Western Douglas County deal aftermath flood,
ID_1110748157955194880,horrible flood damage crop lose livestock cost midwestern farmer lot money loss stay business struggle future ANS211,
ID_1110815958778691584,damage cause Integrated Services Center Victims violence District Dondo CycloneIdai assessment ongoing   continue support government effort protect risk,
ID_1110900286455988224,haveyouherd 2 farmer bunch volunteer save world large herd rare goat Nebraskas flooding,
ID_1110983456299929600,way guy Bud   Miller Donate nearly 35000 gallon Canned Water IowaNebraska Flood Victims  ,
ID_1110997301152100352,IowaNebraska folk organization recommend folk look donation flood relief neck wood ask friend ve recommend   m hope you additional worthy folk know   good use,
ID_1111020236201811968,  help time great Husker run Roger Craig Hall Fame retweet petition word,
ID_1111709190798610432,know place look like   limitation access water   sanitation Norman work   FC   ChimanimaniHe help coordinate response CycloneIdai   see difference UKaid make HometownHero,
ID_1112044766089367552,Africans need rise d occasion   send relief victim CycloneIdai 300000 people displace 10 r150 N3600 u provide meal 1 family Pls donate   TheNextMile PledgeIdai,
ID_1112087996399005696,  need help NEBRASKA,
ID_1112460468814258176,  AB purchase NebraskaStrong tshirt Sunset Plazas Buckle Stop purchase special order today shirt arrive Monday proceed Nebraskas American Red Cross bucklebelieves nebraskastrong visitnorfolkareane norfolknow,
ID_1113439564486647808,CycloneIdai Survivors Mrs Gapara stay daughterin law Gutu continue collapse house not livescanbesaved help save life,
