tweet_id,text,location,cleaned_text
ID_1065384193360896000,"@rader717 @JoeFMartin1 Here in the US we now have Thousands of people who are homeless due to the fires in California. These people, my fellow citizens, need our help. My resources are for them. There are homeless Vets that our citizenry needs to take care of, our resources are for them. Not foreigners",California,   thousand people homeless fire California people fellow citizen need help resource homeless Vets citizenry need care resource foreigner
ID_728684306529320960,Aid the displaced pets of Fort McMurray - Donate!,,aid displace pet Fort McMurray   Donate
ID_722093368935755776,How you can help survivors of the massive earthquake in Ecuador  #Disaster_Relief #Donate,Ecuador,help survivor massive earthquake Ecuador   DisasterRelief Donate
ID_1030718726021120000,An interim emergency aid of Rs 500 crore announced by Prime Minister Narendra Modi for flood-affected Kerala. #KeralaFloods #PMModi #Donate4Kerala #KeralaFloodRelief,Kerala,interim emergency aid Rs 500 crore announce Prime Minister Narendra Modi floodaffecte Kerala KeralaFloods PMModi Donate4Kerala KeralaFloodRelief
ID_1110918077225553920,"LCC AFFILIATE CONGREGATION, TRINITY - FREMONT, NEBRASKA, HELPS MEMBERS AND COMMUNITY AFFECTED BY FLOODS- To give, please visit  Your Donations Still Needed for Flood Recovery in Nebraska #WednesdayWisdom",NEBRASKA Nebraska,LCC AFFILIATE congregation trinity   fremont NEBRASKA HELPS member community affect FLOODS visit   donation need Flood Recovery Nebraska WednesdayWisdom
ID_729812191763935232,"RT @CP24: Notley: 2,400 buildings lost to wildfire in Fort McMurray",Fort McMurray,RT   Notley 2400 building lose wildfire Fort McMurray
ID_1001270650462449664,"Rescue workers are searching for a National Guardsman who went missing after flash floods swept through Ellicott City, Maryland, on Sunday.",Ellicott City Maryland,rescue worker search National Guardsman go miss flash flood sweep Ellicott City Maryland Sunday
ID_907290901537587200,Know your #severeweather terms. Watches = severe weather is possible. Warnings = severe conditions have begun or will begin soon. #Irma,,know severeweather term watch   severe weather possible warning   severe condition begin begin soon Irma
ID_906039321626460160,We are coming out with a Hurricane Irma apparel line More will be explained later but all profits will goes towards Hurricane Irma victims💪🏻,,come Hurricane Irma apparel line explain later profit go Hurricane Irma victim
ID_1032242239966257152,Video of Sudha Murty Aiding Kerala Flood Relief Efforts Goes Viral,Kerala,video Sudha Murty aid Kerala Flood Relief Efforts go viral
